index	is_pain	pain_type
0	else	None
1	pain_point	cost of services
2	else	None
3	pain_point	transparency concerns
4	pain_point	security concerns
5	pain_point	limited functionality
6	pain_point	cost of services
7	pain_point	customer support issues, transaction delays, account blocking
8	pain_point	technical glitches
9	pain_point	user experience issues
10	pain_point	transaction delays
11	pain_point	customer support issues
12	pain_point	user experience issues
13	pain_point	customer support issues
14	pain_point	customer support issues
15	pain_point	transaction delays
16	pain_point	customer support issues
17	pain_point	transaction delays
18	pain_point	cost of services
19	pain_point	transaction delays, customer support issues
20	pain_point	user experience issues
21	pain_point	transaction delays
22	else	None
23	pain_point	transaction delays
24	else	None
25	pain_point	user experience issues
26	pain_point	user experience issues
27	pain_point	user experience issues
28	else	None
29	pain_point	transaction delays, technical glitches, user experience issues
30	pain_point	user experience issues
31	pain_point	cashback problems
32	else	None
33	else	None
34	pain_point	transaction delays
35	pain_point	customer support issues
36	pain_point	user experience issues
37	pain_point	user experience issues
38	pain_point	transaction delays
39	else	None
40	pain_point	customer support issues
41	pain_point	user experience issues
42	pain_point	transaction delays
43	pain_point	limited functionality
44	else	None
45	pain_point	cost of services
46	else	None
47	pain_point	user experience issues
48	pain_point	limited functionality
49	pain_point	technical glitches
50	else	None
51	else	None
52	else	None
53	pain_point	cashback problems
54	else	None
55	pain_point	technical glitches
56	pain_point	cost of services
57	pain_point	user experience issues
58	pain_point	cost of services
59	pain_point	transaction delays
60	pain_point	user experience issues
61	else	None
62	pain_point	cashback problems
63	pain_point	transaction delays
64	pain_point	user experience issues
65	else	None
66	pain_point	user experience issues
67	pain_point	user experience issues
68	pain_point	customer support issues
69	pain_point	user experience issues
70	pain_point	transaction delays
71	else	None
72	else	None
73	else	None
74	pain_point	transaction delays, customer support issues
75	pain_point	transaction delays
76	else	None
77	pain_point	customer support issues
78	pain_point	user experience issues
79	pain_point	transaction delays
80	pain_point	user experience issues
81	else	None
82	else	None
83	pain_point	cost of services
84	pain_point	user experience issues
85	else	None
86	else	None
87	pain_point	transaction delays
88	pain_point	cost of services
89	pain_point	customer support issues
90	pain_point	user experience issues
91	pain_point	transaction delays
92	else	None
93	pain_point	cost_of_services
94	pain_point	cost of services
95	else	None
96	pain_point	cashback problems
97	pain_point	cashback problems
98	pain_point	transaction delays
99	pain_point	transaction delays
100	pain_point	user experience issues
101	pain_point	customer support issues
102	pain_point	user experience issues
103	pain_point	user experience issues
104	else	None
105	pain_point	customer support issues
106	pain_point	transaction delays
107	pain_point	limited functionality
108	pain_point	technical glitches
109	pain_point	data privacy concerns
110	else	None
111	pain_point	transaction delays, technical glitches
112	pain_point	transaction delays
113	else	None
114	pain_point	transaction delays
115	else	None
116	pain_point	user experience issues
117	else	None
118	pain_point	transaction delays, cost of services
119	pain_point	customer support issues
120	pain_point	technical glitches
121	pain_point	transaction delays
122	pain_point	user experience issues
123	pain_point	technical glitches
